id,title,slug,posts,replies,highest_post_number,created_at,last_posted_at,bumped,bumped_at,unseen,pinned,visible,closed,archived,views,like_count,has_summary,category_id,pinned_globally,featured_link,has_accepted_answer
28747,Rapid Saver Withdrawals,rapid-saver-withdrawals,4,1,4,2017-11-06T01:30:40.608Z,2017-11-07T02:52:24.150Z,True,2017-11-07T02:52:24.150Z,False,False,True,False,False,1608,1,False,12,False,,False
28753,Just when you think you’ve heard it all!,just-when-you-think-you-ve-heard-it-all,2,0,2,2017-11-06T19:27:54.758Z,2017-11-06T21:47:01.534Z,True,2017-11-06T21:47:01.534Z,False,False,True,False,False,1649,2,False,12,False,,False
28744,Keep this in mind if you're travelling overseas,keep-this-in-mind-if-youre-travelling-overseas,2,0,2,2017-11-05T19:08:56.850Z,2017-11-05T19:32:21.806Z,True,2017-11-05T19:32:21.806Z,False,False,True,False,False,1657,2,False,12,False,,False
28731,Apple Pay Signature,apple-pay-signature,4,1,4,2017-11-01T02:28:04.727Z,2017-11-01T23:36:34.603Z,True,2017-11-01T23:36:34.603Z,False,False,True,False,False,2081,0,False,12,False,,False
28711,How to view statements that are outside of suggested time frame,how-to-view-statements-that-are-outside-of-suggested-time-frame,4,0,4,2017-10-25T22:12:51.301Z,2017-11-01T21:49:00.831Z,True,2017-11-01T21:49:00.831Z,False,False,True,False,False,1522,0,False,12,False,,False
28727,Payment in wrong account,payment-in-wrong-account,2,0,2,2017-10-31T21:24:51.128Z,2017-10-31T21:37:10.173Z,True,2017-10-31T21:37:10.173Z,False,False,True,False,False,2009,0,False,13,False,,False
28707,NFC Token Intergration for Payment,nfc-token-intergration-for-payment,3,1,3,2017-10-25T10:40:17.696Z,2017-10-30T23:46:37.132Z,True,2017-10-30T23:46:37.132Z,False,False,True,False,False,1498,0,False,13,False,,False
28715,Downloading transactions of closed accounts,downloading-transactions-of-closed-accounts,2,0,2,2017-10-27T09:42:02.619Z,2017-10-30T02:54:32.388Z,True,2017-10-30T02:54:32.388Z,False,False,True,False,False,1375,0,False,13,False,,False
28721,Conversion rate for Euros,conversion-rate-for-euros,2,0,2,2017-10-26T21:47:13.740Z,2017-10-30T00:28:51.940Z,True,2017-10-30T00:28:51.940Z,False,False,True,False,False,1556,0,False,12,False,,False
28717,How do I set up phone banking online,how-do-i-set-up-phone-banking-online,2,0,2,2017-10-27T22:23:22.306Z,2017-10-29T20:40:42.406Z,True,2017-10-29T20:40:42.406Z,False,False,True,False,False,2193,0,False,13,False,,False
28720,Mobile Netguard - using the Mobile App on Multiple devices,mobile-netguard-using-the-mobile-app-on-multiple-devices,2,0,2,2017-10-29T01:40:25.473Z,2017-10-29T20:37:10.810Z,True,2017-10-29T20:37:10.810Z,False,False,True,False,False,1959,0,False,13,False,,False
28681,Currency change,currency-change,11,6,11,2017-10-17T19:59:08.961Z,2017-10-29T22:37:48.444Z,True,2017-10-26T21:47:13.740Z,False,False,True,False,False,2388,1,False,12,False,,False
28256,Changing account types online possible?,changing-account-types-online-possible,5,1,5,2017-06-30T22:43:34.414Z,2017-10-25T15:10:56.603Z,True,2017-10-25T15:10:56.603Z,False,False,True,False,False,3303,2,False,12,False,,False
28690,BNZ Dining,bnz-dining,2,0,2,2017-10-20T01:21:32.330Z,2017-10-21T23:09:01.238Z,True,2017-10-21T23:09:01.238Z,False,False,True,False,False,1530,2,False,12,False,,False
28697,Fraudulent VISA transactions,fraudulent-visa-transactions,1,0,1,2017-10-20T23:03:34.055Z,2017-10-20T23:03:34.119Z,True,2017-10-20T23:03:34.119Z,False,False,True,False,False,1383,4,False,12,False,,False
28692,Netguard,netguard,2,0,2,2017-10-20T04:44:16.537Z,2017-10-20T05:30:17.763Z,True,2017-10-20T05:30:17.763Z,False,False,True,False,False,2488,0,False,11,False,,False
28683,Refix mortgage rate offers,refix-mortgage-rate-offers,2,0,2,2017-10-18T02:52:30.426Z,2017-10-18T21:10:56.774Z,True,2017-10-18T21:10:56.774Z,False,False,True,False,False,1282,0,False,12,False,,False
28685,Close down account,close-down-account,2,0,2,2017-10-18T03:47:56.644Z,2017-10-18T05:14:33.633Z,True,2017-10-18T05:14:33.633Z,False,False,True,False,False,2528,0,False,12,False,,False
28675,Westpac to bnz transfer?,westpac-to-bnz-transfer,3,1,3,2017-10-14T13:00:41.504Z,2017-10-15T12:30:30.498Z,True,2017-10-15T12:30:30.498Z,False,False,True,False,False,3595,2,False,12,False,,False
28666,Credit card pay off,credit-card-pay-off,4,1,4,2017-10-10T20:22:47.376Z,2017-10-11T20:24:04.000Z,True,2017-10-12T01:29:04.474Z,False,False,True,False,False,1553,1,False,13,False,,False
28607,Apple Pay? Come on BNZ,apple-pay-come-on-bnz,5,2,5,2017-09-14T08:41:48.201Z,2017-10-09T16:01:05.374Z,True,2017-10-09T16:01:05.374Z,False,False,True,False,False,2776,5,False,12,False,,False
14264,Poll: Do you want BNZ to support Apple Pay?,poll-do-you-want-bnz-to-support-apple-pay,7,2,7,2016-10-13T09:48:02.338Z,2017-10-08T21:49:32.313Z,True,2017-10-09T00:59:58.830Z,False,False,True,False,False,4876,3,False,13,False,,False
14259,Bnz Apple Pay yes or no,bnz-apple-pay-yes-or-no,6,0,6,2016-10-13T08:47:25.854Z,2017-10-08T21:50:03.265Z,True,2017-10-08T21:50:03.265Z,False,False,True,False,False,7154,5,False,13,False,,False
28656,Falling for online scammers,falling-for-online-scammers,1,0,1,2017-10-06T02:16:36.504Z,2017-10-06T02:16:36.675Z,True,2017-10-06T02:16:36.675Z,False,False,True,False,False,1361,2,False,12,False,,False
28649,TradeMe Phishing Scam – have you seen it?,trademe-phishing-scam-have-you-seen-it,1,0,1,2017-10-03T00:45:21.810Z,2017-10-03T00:45:21.961Z,True,2017-10-03T02:38:31.113Z,False,False,True,False,False,2049,0,False,12,False,,False
28619,Can't you get the most basic functions working?,cant-you-get-the-most-basic-functions-working,7,4,8,2017-09-19T11:30:22.233Z,2017-09-27T03:45:40.816Z,True,2017-09-27T03:45:40.816Z,False,False,True,False,False,2045,1,False,12,False,,False
28509,Credit card delivery time,credit-card-delivery-time,2,0,2,2017-08-27T09:41:42.777Z,2017-08-27T13:20:47.484Z,True,2017-09-22T10:22:28.841Z,False,False,True,False,False,3058,3,False,12,False,,False
